calendardate,ticker,eps,netinc,opinc,ncfo,cashnequsd,de,ebitda,fcf,marketcap,netmargin,pb,pe,ps,workingcapital,ev,divyield,fcfps,revenue,invcap,ebit,equityusd,assets,roe,roa,roic,stock_price,sp500_price,stock_p_change,sp500_p_change
6/30/2020,A,0.64,199000000.0,230000000.0,290000000.0,1358000000.0,0.9159999999999999,315000000.0,266000000.0,31176270291.0,0.158,6.2589999999999995,45.118,5.968999999999999,1931000000.0,32141270291.0,0.006999999999999999,0.861,1261000000.0,4715000000.0,238000000.0,4981000000.0,9546000000.0,0.0399518169042361,0.02084642782317201,0.04220572640509014,82.1787654876709,292.61378580729166,6.21,4.35
9/30/2020,AA,-0.26,-49000000.0,63000000.0,158000000.0,1736000000.0,2.719,195000000.0,83000000.0,2370602222.0,-0.021,0.698,-5.055,0.254,1750000000.0,3174602222.0,0.0,0.446,2365000000.0,12751000000.0,34000000.0,3395000000.0,14250000000.0,-0.01443298969072165,-0.0034385964912280703,-0.0038428358560112933,13.575666650136313,331.48317769368487,-0.23,2.14
3/31/2011,AAI,-0.06,-8811000.0,-36734000.0,99368000.0,546275000.0,3.3310000000000004,19006000.0,95193000.0,1023214024.0,-0.013000000000000001,1.9140000000000001,24.504,0.382,36948000.0,1446338024.0,0.0,0.7,667031000.0,1953236000.0,2790000.0,534718000.0,2315900000.0,-0.016477844396485624,-0.003804568418325489,-0.004510975632232869,0.5,107.47842979431152,0.0,1.23
9/30/2020,AAL,-4.71,-2399000000.0,-2871000000.0,-2604000000.0,761000000.0,-12.355,-2755000000.0,-3078000000.0,6482511998.0,-0.7559999999999999,-1.173,-1.03,0.263,-4244000000.0,46926511998.0,0.016,-6.0520000000000005,3173000000.0,80503000000.0,-2755000000.0,-5528000000.0,62773000000.0,0.433972503617945,-0.0382170678476415,-0.0298001316721116,12.536000029246011,331.48317769368487,2.35,2.14
6/30/2020,AAMC,-4.81,-7835000.0,-3226000.0,-885000.0,15845000.0,-0.051,-8293000.0,-893000.0,24843759.0,-1.8230000000000002,-0.113,-1.479,1.5330000000000001,28955000.0,12970759.0,0.0,-0.5479999999999999,4297000.0,23132000.0,-8488000.0,-218967000.0,42242000.0,0.0357816474628597,-0.1854789072487098,-0.33870828289814975,16.067166566848755,292.61378580729166,2.26,4.35
6/30/2020,AAOI,-0.89,-18600000.0,-11108000.0,-15523000.0,58909000.0,0.857,-3964000.0,-21446000.0,342748143.0,-0.285,1.331,-4.306,1.71,93240000.0,437764143.0,0.0,-1.028,65222000.0,443877000.0,-10087000.0,257455000.0,478091000.0,-0.07224563515954245,-0.03890472734270254,-0.04190350029400036,9.249416613578797,292.61378580729166,10.92,4.35
6/30/2020,AAON,0.34,17804000.0,22192000.0,25165000.0,70845000.0,0.332,28581000.0,13532000.0,2974734598.0,0.142,9.218,42.799,5.96,143155000.0,2903889598.0,0.006,0.26,125596000.0,278958000.0,22243000.0,322695000.0,429807000.0,0.05517284122778475,0.041423243455783645,0.06382322786942837,50.483305867513025,292.61378580729166,5.69,4.35
6/30/2020,AAP,2.75,189960000.0,262845000.0,437302000.0,1141502000.0,2.202,322604000.0,380404000.0,11259247555.0,0.076,3.0210000000000004,24.848000000000003,1.17,1957966000.0,13399485555.0,0.004,5.504,2501380000.0,7950466000.0,265962000.0,3726519000.0,11930665000.0,0.05097518622607318,0.01592199596585773,0.023892939105707767,128.56651776631674,292.61378580729166,7.19,4.35
9/30/2020,AAPL,0.748,12673000000.0,14775000000.0,20576000000.0,38016000000.0,3.957,17603000000.0,18792000000.0,1960650000000.0,0.196,30.006999999999998,34.150999999999996,7.142,38321000000.0,2035070000000.0,0.006999999999999999,1.102,64698000000.0,292916000000.0,14901000000.0,65339000000.0,323888000000.0,0.19395766693705138,0.039127723163562715,0.0432649633341982,109.98983408610027,331.48317769368487,5.87,2.14
6/30/2020,AAWW,3.02,78912000.0,120662000.0,488543000.0,739178000.0,2.013,224028000.0,437820000.0,1467407741.0,0.096,0.76,-5.917000000000001,0.512,10900000.0,3707585741.0,0.0,16.756,825253000.0,6837780000.0,140871000.0,1930367000.0,5816750000.0,0.040879273215922156,0.013566338591137662,0.011540587734615622,35.729499944051106,292.61378580729166,18.16,4.35
6/30/2020,AAXN,-0.51,-30759000.0,-13676000.0,-20392000.0,319253000.0,0.41700000000000004,-9133000.0,-25734000.0,5324331567.0,-0.218,6.121,-161.539,9.007,642894000.0,5005078567.0,0.0,-0.426,141259000.0,634778000.0,-12063000.0,869813000.0,1232912000.0,-0.03536277337772602,-0.024948252592236916,-0.048456310710201046,81.74549929300943,292.61378580729166,7.66,4.35
3/31/2018,ABAX,0.44,10020000.0,12182000.0,6356000.0,46277000.0,0.17300000000000001,16051000.0,5104000.0,1907898820.0,0.14800000000000002,6.563,70.203,7.797000000000001,220368000.0,1861798820.0,0.006,0.225,67918000.0,250106000.0,13965000.0,290693000.0,341103000.0,0.03446935426721662,0.029375291334289056,0.040063013282368276,67.37733357747396,259.3767046610514,4.25,-1.57
6/30/2020,ABBV,-0.46,-738000000.0,752000000.0,3089000000.0,6017000000.0,9.165,1477000000.0,2912000000.0,169318000000.0,-0.071,11.512,24.338,4.6739999999999995,-3390000000.0,250733000000.0,0.048,1.768,10425000000.0,87167000000.0,-78000000.0,14708000000.0,149530000000.0,-0.0501767745444656,-0.004935464455293252,-0.008466506820241606,86.40802103678385,292.61378580729166,6.47,4.35
6/30/2020,ABC,1.42,289439000.0,404831000.0,-87899000.0,3420272000.0,9.546,455345000.0,-194618000.0,21128675783.0,0.006,5.478,13.458,0.113,-712999000.0,21848754783.0,0.016,-0.956,45366777000.0,2262534000.0,383754000.0,3857252000.0,40789703000.0,0.0750376174540839,0.0070958839783658145,0.12792691734135267,91.93650970458984,292.61378580729166,4.62,4.35
9/30/2018,ABCD,0.12,5877000.0,9385000.0,37182000.0,27216000.0,-922.8560000000001,14203000.0,33114000.0,679231762.0,0.131,-3379.262,15.732000000000001,4.228,-53476000.0,695572762.0,0.0,0.7,44734000.0,33368000.0,9282000.0,-201000.0,185293000.0,-29.238805970149254,0.03171733416804736,0.17612682809877728,12.397499926884965,273.4200927734375,2.59,0.07
9/30/2017,ABCO,0.02,685000.0,-5541000.0,27174000.0,151458000.0,2.565,21894000.0,19696000.0,2178565984.0,0.004,3.785,30.705,2.787,47538000.0,2662006984.0,0.0,0.484,183126000.0,899303000.0,1415000.0,575511000.0,2051462000.0,0.0011902465808646576,0.00033390820790246174,0.0007617010062237088,1.1891666769981384,232.17633132934571,0.14,1.41
12/31/2018,ABEO,-0.42,-20089000.0,-20620000.0,-16967000.0,18750000.0,0.301,-18696000.0,-17630000.0,387913024.0,9.44,2.8939999999999997,-6.845,129.391,68497000.0,369163024.0,0.0,-0.368,-2128000.0,59787000.0,-20087000.0,134045000.0,174399000.0,-0.1498675817822373,-0.11518988067592131,-0.33600950039306204,8.557833298047383,258.4602567036946,-10.13,-1.81
6/30/2020,ABG,2.58,49600000.0,80900000.0,426900000.0,613200000.0,3.115,91900000.0,417800000.0,1931836114.0,0.034,2.7089999999999996,12.25,0.285,698500000.0,3172336114.0,0.0,21.76,1445100000.0,2962000000.0,82200000.0,713100000.0,2934400000.0,0.06955546206703127,0.016902944383860415,0.01674544226873734,68.25466683705648,292.61378580729166,17.39,4.35
6/30/2020,ABM,0.84,56000000.0,93700000.0,130800000.0,229400000.0,1.528,117900000.0,122000000.0,2444082325.0,0.04,1.6840000000000002,-509.184,0.397,434800000.0,3143782325.0,0.02,1.824,1394100000.0,1567300000.0,93800000.0,1451300000.0,3668300000.0,0.038586095224970716,0.015265926996156257,0.03573023671281822,32.525579357147215,292.61378580729166,3.78,4.35
6/30/2020,ABMC,0.0,-21000.0,16000.0,-589000.0,225000.0,-3.616,38000.0,-589000.0,9707439.0,-0.012,-10.994000000000002,-13.28,2.278,-1624000.0,11251439.0,0.0,-0.016,1757000.0,607000.0,17000.0,-883000.0,2310000.0,0.02378255945639864,-0.00909090909090909,-0.03459637561779242,0.3425000014404456,292.61378580729166,72.36,4.35
6/30/2020,ABMD,0.99,44588000.0,34066000.0,31759000.0,214827000.0,0.134,66556000.0,21715000.0,14188986585.0,0.27,12.877,89.42200000000001,17.779,509310000.0,13974159585.0,0.0,0.48200000000000004,164850000.0,847523000.0,61076000.0,1101848000.0,1249512000.0,0.040466561631005364,0.03568433116288599,0.05260978168144109,203.67600021362304,292.61378580729166,17.55,4.35
6/30/2020,ABT,0.3,537000000.0,672000000.0,1322000000.0,4763000000.0,1.2329999999999999,1485000000.0,680000000.0,181515000000.0,0.073,5.894,58.365,5.773,6262000000.0,196431000000.0,0.013999999999999999,0.384,7328000000.0,33868000000.0,660000000.0,30798000000.0,68776000000.0,0.017436197155659458,0.007807956263812958,0.015855674973426243,90.29404691060385,292.61378580729166,1.87,4.35
6/30/2020,ABUS,-0.25,-14087000.0,-13025000.0,-8801000.0,45899000.0,0.49,-12487000.0,-8867000.0,307455184.0,-11.283,4.6930000000000005,-2.095,40.012,79209000.0,264423184.0,0.0,-0.127,1514000.0,48266000.0,-12988000.0,65511000.0,97625000.0,-0.2150325899467265,-0.14429705505761845,-0.29186176604649233,1.6686666627724966,292.61378580729166,29.5,4.35
9/30/2020,ACA,0.64,31200000.0,42100000.0,106400000.0,189000000.0,0.4,70800000.0,95000000.0,2197130455.0,0.064,1.168,18.747,1.1420000000000001,428400000.0,2262730455.0,0.004,1.975,490000000.0,1449200000.0,42600000.0,1881600000.0,2635000000.0,0.016581632653061226,0.011840607210626186,0.02152911951421474,44.110933176676426,331.48317769368487,3.96,2.14
6/30/2020,ACAD,-0.27,-42141000.0,-44010000.0,-36883000.0,316211000.0,0.146,-41025000.0,-39816000.0,6759777182.0,-0.38299999999999995,10.196,-30.02,17.197,649313000.0,6449235182.0,0.0,-0.254,110103000.0,360839000.0,-41748000.0,663013000.0,759649000.0,-0.06355983970148399,-0.05547430458014162,-0.11678615670700783,48.376000022888185,292.61378580729166,2.6,4.35
12/31/2013,ACCL,0.0,-76000.0,-3594000.0,-7882000.0,37628000.0,0.58,3749000.0,-8537000.0,696428973.0,-0.002,2.803,122.395,4.132,7300000.0,658800973.0,0.0,-0.153,46475000.0,13346000.0,-3753000.0,248459000.0,392566000.0,-0.00030588547808692784,-0.00019359801918658265,-0.005694590139367601,9.373666667938233,154.82882741292318,1.19,1.9
9/30/2020,ACCO,0.2,18800000.0,34300000.0,89300000.0,85800000.0,2.717,53500000.0,86400000.0,560366243.0,0.042,0.773,7.402,0.32299999999999995,294700000.0,1483166243.0,0.044000000000000004,0.914,444100000.0,1698100000.0,35800000.0,725200000.0,2695800000.0,0.02592388306674021,0.006973811113584093,0.011071197220422825,6.5062623341878245,331.48317769368487,-1.5,2.14
12/31/2016,ACER,-2.484,-1709095.0,-1716916.0,-2327916.0,3444952.0,0.429,-1661255.0,-2327916.0,6473700.0,-2.353,2.392,-0.8109999999999999,2.228,2656026.0,3185390.0,0.0,-3.3739999999999997,726292.0,-582284.0,-1709095.0,2706026.0,3866514.0,-0.6315885361042355,-0.44202477994389777,2.9351570711199346,16.66493050257365,202.62629496256508,-44.64,1.99
